iso_code,continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,classification,gov_type,corruption,development,land_cond,GDP_per_energy,pop_total,urban_pop_p,cluster_num
QAT,Asia,Qatar,140203,239,48663.686,82.956,2881060,227.322,31.9,1.307,0.617,116935.6,176.69,16.52,0.8,26.9,1.2,80.23,0.856,NC,abs_mon,less,developing,sea_access,6.510.921.526,2459198,98.868,2
ROU,Europe,Romania,524675,12660,27273.296,658.083,19237682,85.129,43,17.85,11.69,23313.199,370.946,9.74,22.9,37.1,6.892,76.05,0.811,NC,semi_pres_rep,highly,developed,sea_access,1.244.100.671,19908979,53.9,1
SAU,Asia,Saudi Arabia,359115,5989,10315.286,172.029,34813867,15.322,31.9,3.295,1.845,49045.411,259.538,17.72,1.8,25.4,2.7,75.13,0.853,NC,abs_mon,less,developing,sea_access,7.201.496.629,30916994,82.96,2
SGP,Asia,Singapore,58285,29,9962.664,4.957,5850343,7915.731,42.4,12.922,7.049,85535.383,92.243,10.99,5.2,28.3,2.4,83.62,0.932,NC,par_rep,less,developing,sea_access,1.600.321.996,5469724,100,2
SLV,North America,El Salvador,40551,1168,6251.888,180.075,6486201,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,2.5,18.8,1.3,73.32,0.674,NC,pres_rep,highly,developing,sea_access,1.060.256.587,6295128,68.874,2
SUR,South America,Suriname,5326,117,9078.915,199.443,586634,3.612,29.6,6.933,4.229,13767.119,258.314,12.54,7.4,42.9,3.1,71.68,0.72,NC,par_rep,highly,developing,sea_access,1.215.308.483,553273,66.089,4
SVN,Europe,Slovenia,87936,1862,42298.642,895.652,2078932,102.619,44.5,19.062,12.93,31400.84,153.493,7.25,20.1,25,4.5,81.32,0.896,OECD,par_rep,less,developed,sea_access,8.813.505.024,2061980,53.557,3
SWE,Europe,Sweden,297732,7200,29480.547,712.923,10099270,24.718,41,19.985,13.433,46949.283,133.982,4.79,18.8,18.9,2.22,82.8,0.933,OECD,const_mon,less,developed,sea_access,9.013.000.672,9696110,86.247,3
TGO,Africa,Togo,3132,65,378.319,7.851,8278737,143.366,19.4,2.839,1.525,1429.813,280.033,6.15,0.9,14.2,0.7,61.04,0.503,NC,pres_rep,highly,developing,sea_access,3.078.012.678,7137997,39.579,4
THA,Asia,Thailand,4151,60,59.47,0.86,69799978,135.132,40.1,11.373,6.89,16277.671,109.861,7.04,1.9,38.8,2.1,77.15,0.755,NC,const_mon,highly,developing,sea_access,7.543.130.095,68438730,46.943,4
TUN,Africa,Tunisia,105445,3668,8921.94,310.358,11818618,74.228,32.7,8.001,5.075,10849.297,318.991,8.52,1.1,65.8,2.3,76.7,0.735,NC,semi_pres_rep,highly,developing,sea_access,1.141.049.954,11063201,67.772,4
TUR,Asia,Turkey,893630,15314,10595.683,181.577,84339067,104.914,31.6,8.153,5.061,25129.341,171.285,12.13,14.1,41.1,2.81,77.69,0.791,OECD,pres_rep,highly,developing,sea_access,1.419.792.318,77231907,73.077,2
TZA,Africa,Tanzania,509,21,8.521,0.352,59734213,64.699,17.7,3.108,1.874,2683.304,217.288,5.75,3.3,26.7,0.7,65.46,0.538,NC,pres_rep,highly,developing,sea_access,4.954.448.773,49959822,30.904,4
UKR,Europe,Ukraine,855054,14413,19551.349,329.562,43733759,77.39,41.4,16.462,11.133,7894.393,539.849,7.11,13.5,47.4,8.8,72.06,0.751,NC,semi_pres_rep,highly,transition,sea_access,3.354.154.134,45271947,68.968,1
URY,South America,Uruguay,7806,86,2247.154,24.757,3473727,19.751,35.6,14.655,10.361,20551.409,160.708,6.93,14,19.9,2.8,77.91,0.804,NC,pres_rep,less,developing,sea_access,1.438.579.749,3400434,94.945,2
USA,North America,United States,15239976,286283,46041.855,864.896,331002647,35.608,38.3,15.413,9.732,54225.446,151.089,10.79,19.1,24.6,2.77,78.86,0.924,OECD,pres_rep,less,developed,sea_access,7.482.139.348,318386421,81.483,3
ZAF,Africa,South Africa,821889,22432,13857.817,378.225,59308690,46.754,27.3,5.344,3.053,12294.876,200.38,5.52,8.1,33.2,2.32,64.13,0.699,BRICS,par_rep,highly,developing,sea_access,4.596.045.455,54545991,64.312,4
